Production,Captures,Fish-Consumption,Price
0,1488.000000,46.160000,1488
0,990.000000,50.050000,990
0,875.000000,31.400000,875
0,1481.000000,30.910000,1481
0,1692.000000,49.490000,1692
0,1046.000000,41.300000,1046
0,1095.000000,38.770000,1095
0,1576.000000,38.910000,1576
0,1434.000000,35.640000,1434
0,1639.000000,40.300000,1639
0,1675.000000,36.230000,1675
0,1626.000000,40.890000,1626
0,1723.000000,44.490000,1723
0,1797.000000,42.330000,1797
0,2343.000000,44.930000,2343
0,2541.000000,51.230000,2541
0,2473.000000,51.950000,2473
0,2948.000000,54.030000,2948
0,3044.000000,55.720000,3044
0,3042.000000,57.040000,3042
0,3389.000000,57.420000,3389
0,2416.000000,56.220000,2416
0,2219.000000,55.200000,2219
0.000000,101900.000000,4.170000,101900
1.000000,101306.000000,4.130000,101306
2.000000,130571.000000,5.130000,130571
4.000000,168604.000000,6.830000,168604
5.000000,205000.000000,6.640000,205000
5.000000,250800.000000,6.060000,250800
8.000000,240860.000000,5.210000,240860
11.000000,223121.000000,5.590000,223121
15.000000,202800.000000,5.060000,202800
19.000000,214500.000000,5.280000,214500
23.000000,228608.000000,6.540000,228608
27.000000,237948.000000,5.860000,237948
31.000000,301989.000000,5.540000,301989
36.000000,295965.000000,6.270000,295965
42.000000,232209.000000,4.730000,232209
49.000000,281727.000000,3.330000,281727
57.000000,402723.000000,4.550000,402723
67.000000,541892.000000,7.010000,541892
78.000000,580657.000000,7.650000,580657
90.000000,400011.000000,6.010000,400011
105.000000,374777.000000,6.040000,374777
123.000000,488112.000000,5.870000,488112
143.000000,428064.000000,5.890000,428064
150.000000,322563.000000,5.020000,322563
270.000000,419470.000000,6.810000,419470
270.000000,422424.000000,5.760000,422424
353.000000,461568.000000,5.250000,461568
353.000000,496041.000000,6.590000,496041
300.000000,494683.000000,5.420000,494683
300.000000,560857.000000,5.970000,560857
350.000000,642362.000000,6.440000,642362
402.000000,745678.000000,8.710000,745678
707.000000,984908.000000,9.280000,984908
763.000000,999814.000000,8.090000,999814
1474.000000,1175635.000000,10.050000,1175635
1322.000000,1290065.000000,11.800000,1290065
1314.000000,1389550.000000,11.990000,1389550
1040.000000,1165404.000000,11.610000,1165404
1218.000000,1086938.000000,10.230000,1086938
1784.000000,922289.000000,8.540000,922289
1340.000000,931282.000000,10.040000,931282
1457.000000,946535.000000,7.250000,946535
1647.000000,911283.000000,7.340000,911283
1848.000000,945978.000000,6.830000,945978
2057.000000,934009.000000,6.710000,934009
2528.000000,1176616.000000,9.060000,1176616
2957.000000,992618.000000,7.290000,992618
2700.000000,999949.000000,7.800000,999949
2582.949951,872632.000000,6.100000,872632
2654.349854,818162.000000,5.850000,818162
3193.250000,815988.000000,6.020000,815988
2958.420166,762560.000000,5.880000,762560
3825.119873,890305.000000,7.050000,890305
4002.709961,853436.000000,5.880000,853436
3662.650146,835850.000000,7.210000,835850
3673.484863,771152.000000,6.070000,771152
3567.760010,849268.000000,7.290000,849268
2565.000000,1885.000000,1.290000,1885
2250.000000,1850.000000,1.220000,1850
1570.000000,1033.000000,0.940000,1033
1120.000000,821.000000,0.990000,821
650.000000,580.000000,0.530000,580
670.000000,580.000000,0.520000,580
437.000000,698.000000,0.580000,698
889.000000,1144.000000,0.810000,1144
893.000000,1133.000000,1.100000,1133
1331.000000,866.000000,1.220000,866
1020.000000,465.000000,1.090000,465
1064.000000,569.000000,0.790000,569
813.000000,218.000000,0.490000,218
739.000000,250.000000,2.420000,250
1056.000000,350.000000,1.440000,350
3650.000000,1065.000000,2.260000,1065
5100.000000,601.000000,3.190000,601
5240.000000,619.000000,3.400000,619
5000.000000,617.000000,2.600000,617
6300.000000,795.000000,3.220000,795
8850.000000,861.000000,3.420000,861
11700.000000,4099.000000,4.380000,4099
13925.000000,4795.000000,5.500000,4795
15130.000000,8140.000000,6.590000,8140
16381.000000,3758.000000,6.540000,3758
16690.000000,364.000000,5.830000,364
6500.000000,57215.000000,12.820000,57215
5800.000000,62656.000000,11.700000,62656
5900.000000,67819.000000,8.840000,67819
5800.000000,68242.000000,12.650000,68242
6600.000000,77944.000000,12.780000,77944
6800.000000,89514.000000,14.210000,89514
7300.000000,93044.000000,13.280000,93044
7500.000000,103495.000000,12.910000,103495
7500.000000,91758.000000,13.020000,91758
7021.000000,97996.000000,12.790000,97996
9800.000000,107029.000000,14.120000,107029
10400.000000,117250.000000,12.490000,117250
9200.000000,120461.000000,13.150000,120461
10484.000000,134082.000000,15.970000,134082
9204.000000,105372.000000,13.580000,105372
10439.000000,105572.000000,12.950000,105572
11126.000000,137195.000000,14.570000,137195
10236.000000,131282.000000,13.530000,131282
8702.000000,137912.000000,12.530000,137912
8994.000000,136873.000000,13.980000,136873
9185.000000,153148.000000,16.130000,153148
8841.000000,171926.000000,16.740000,171926
9056.000000,169112.000000,15.030000,169112
8785.000000,177014.000000,16.890000,177014
9534.000000,162845.000000,17.410000,162845
9083.000000,183734.000000,17.710000,183734
9660.000000,212829.000000,18.720000,212829
13080.000000,221970.000000,19.040000,221970
13685.000000,200208.000000,18.710000,200208
12401.000000,237505.000000,19.840000,237505
14327.000000,247658.000000,20.050000,247658
16422.000000,256427.000000,21.210000,256427
18359.000000,259830.000000,20.100000,259830
19129.000000,228164.000000,20.530000,228164
22395.000000,238138.000000,18.830000,238138
25323.000000,230717.000000,20.810000,230717
26543.000000,229463.000000,20.500000,229463
24570.000000,238273.437500,20.460000,238273.4375
29189.000000,244467.000000,21.100000,244467
31746.000000,219713.000000,21.590000,219713
35403.000000,217108.000000,21.200000,217108
38566.000000,217973.000000,22.780000,217973
38793.000000,240089.234375,24.770000,240089.234375
44142.000000,255833.046875,27.600000,255833.046875
42787.000000,273833.281250,25.340000,273833.28125
49376.000000,229131.000000,25.480000,229131
55799.000000,211880.312500,25.890000,211880.3125
58911.699219,212315.703125,26.050000,212315.703125
70121.851562,200064.500000,25.090000,200064.5
73827.226562,218659.546875,26.670000,218659.546875
73126.539062,217720.078125,25.960000,217720.078125
78992.101562,216678.046875,25.970000,216678.046875
76416.890625,201837.500000,26.090000,201837.5
73677.609375,198323.203125,26.410000,198323.203125
83725.210938,203270.718750,24.820000,203270.71875
92449.890625,220959.375000,25.700000,220959.375
89824.921875,229645.437500,25.870000,229645.4375
660.000000,3540.000000,7.030000,3540
670.000000,3830.000000,7.300000,3830
600.000000,4000.000000,7.180000,4000
680.000000,4220.000000,7.320000,4220
730.000000,4370.000000,7.750000,4370
750.000000,4150.000000,7.260000,4150
790.000000,3410.000000,7.550000,3410
740.000000,3260.000000,7.590000,3260
800.000000,2700.000000,7.500000,2700
870.000000,2330.000000,7.690000,2330
960.000000,1940.000000,7.850000,1940
1080.000000,1520.000000,7.560000,1520
1300.000000,900.000000,8.000000,900
1220.000000,850.000000,7.270000,850
1200.000000,840.000000,6.800000,840
1390.000000,970.000000,6.090000,970
1600.000000,870.000000,5.730000,870
2900.000000,800.000000,5.660000,800
3400.000000,700.000000,6.380000,700
3200.000000,1100.000000,6.320000,1100
3200.000000,1200.000000,6.300000,1200
3100.000000,1400.000000,6.290000,1400
3600.000000,1100.000000,6.800000,1100
4000.000000,700.000000,6.600000,700
4100.000000,700.000000,6.850000,700
4060.000000,640.000000,7.260000,640
4000.000000,600.000000,7.780000,600
4500.000000,600.000000,8.030000,600
4450.000000,550.000000,9.060000,550
3126.000000,533.000000,9.110000,533
3135.000000,500.000000,9.340000,500
3140.000000,479.000000,10.320000,479
3140.000000,420.000000,9.930000,420
3103.000000,388.000000,11.910000,388
2918.000000,404.000000,8.650000,404
2949.000000,450.000000,10.640000,450
3018.000000,465.000000,10.520000,465
2909.000000,451.000000,10.610000,451
3067.000000,432.000000,10.670000,432
2847.000000,439.000000,9.540000,439
2393.000000,362.000000,10.870000,362
2333.000000,350.000000,10.300000,350
2233.000000,372.000000,10.980000,372
2267.000000,400.000000,12.060000,400
2420.000000,370.000000,13.500000,370
2503.000000,360.000000,13.330000,360
2539.000000,350.000000,15.290000,350
2087.000000,350.000000,14.510000,350
2141.000000,350.000000,13.690000,350
2167.000000,350.000000,13.470000,350
2904.300049,350.000000,14.180000,350
3125.500000,300.000000,13.700000,300
3237.000000,350.000000,13.880000,350
3390.300049,350.000000,14.000000,350
3503.399902,350.000000,14.030000,350
3483.399902,350.000000,14.050000,350
3861.600098,350.000000,14.090000,350
1690.000000,30339.000000,4.300000,30339
1201.000000,21733.000000,3.030000,21733
1038.000000,18901.000000,2.330000,18901
516.000000,10545.000000,1.380000,10545
419.000000,6702.000000,0.950000,6702
364.000000,5161.000000,0.670000,5161
211.000000,4760.000000,1.020000,4760
216.000000,20866.000000,2.550000,20866
140.000000,18797.000000,2.590000,18797
95.000000,10893.000000,1.660000,10893
80.000000,11188.000000,2.050000,11188
130.000000,6435.000000,1.360000,6435
350.000000,9258.000000,1.600000,9258
500.000000,9001.000000,1.880000,9001
600.000000,4061.000000,1.780000,4061
900.000000,2949.000000,1.720000,2949
1000.000000,1524.000000,2.170000,1524
1000.000000,1206.000000,2.180000,1206
1000.000000,1131.000000,2.230000,1131
517.000000,1061.000000,2.180000,1061
366.100006,911.000000,2.160000,911
325.000000,796.000000,2.130000,796
305.000000,906.000000,1.930000,906
561.000000,594.000000,1.370000,594
640.000000,722.000000,2.190000,722
695.000000,950.000000,3.200000,950
50569.000000,400071.000000,8.530000,400071
51944.000000,448776.000000,9.030000,448776
53362.000000,447448.000000,8.780000,447448
54824.000000,496086.000000,9.510000,496086
58030.000000,543000.000000,10.380000,543000
57897.000000,543253.000000,10.160000,543253
59519.000000,541781.000000,9.830000,541781
59460.000000,592000.000000,10.310000,592000
62927.000000,588723.000000,10.020000,588723
64716.000000,625384.000000,10.380000,625384
68080.000000,672020.000000,10.920000,672020
68508.000000,749592.000000,11.890000,749592
70525.000000,749675.000000,11.710000,749675
70970.000000,751112.000000,11.520000,751112
73340.000000,566730.000000,8.830000,566730
77063.000000,564542.000000,8.610000,564542
77230.000000,566539.000000,8.430000,566539
82760.000000,564135.000000,8.230000,564135
87360.000000,559768.000000,7.970000,559768
91030.000000,555940.000000,7.710000,555940
96780.000000,554476.000000,7.570000,554476
101630.000000,587868.000000,7.760000,587868
107000.000000,619587.000000,7.920000,619587
117025.000000,633171.000000,7.900000,633171
123811.000000,642270.000000,7.810000,642270
144723.000000,648468.000000,7.890000,648468
166100.000000,639185.000000,7.790000,639185
175925.000000,654668.000000,7.820000,654668
183505.000000,656439.000000,7.730000,656439
192592.000000,653552.000000,7.560000,653552
210993.000000,689727.000000,7.840000,689727
226863.000000,709332.000000,7.920000,709332
237743.000000,764824.000000,8.400000,764824
264190.000000,770790.000000,8.410000,770790
317073.000000,792389.000000,8.860000,792389
379087.000000,814787.000000,9.380000,814787
485864.000000,829426.000000,10.090000,829426
574812.000000,839141.000000,10.790000,839141
593202.000000,959215.000000,11.660000,959215
657120.000000,1004264.000000,12.190000,1004264
712640.000000,1068417.000000,12.850000,1068417
786604.000000,1103855.000000,13.570000,1103855
856956.000000,1141241.000000,14.070000,1141241
914752.000000,1187274.000000,14.530000,1187274
882091.000000,1333866.000000,15.050000,1333866
892049.000000,1436496.000000,15.650000,1436496
945812.000000,1494199.000000,16.080000,1494199
1005542.000000,1557754.000000,16.520000,1557754
1064285.000000,1821579.000000,18.560000,1821579
1308515.000000,1726586.000000,19.340000,1726586
1523759.000000,1600918.000000,19.680000,1600918
1726066.000000,1535715.000000,19.440000,1535715
1859808.000000,1550446.000000,19.210000,1550446
1956925.000000,1591620.000000,22.920000,1591620
2060408.000000,1624237.000000,23.860000,1624237
2203554.000000,1675370.000000,24.570000,1675370
2333352.000000,1801084.000000,24.310000,1801084
2.000000,1986.000000,41.270000,1986
2.000000,2235.000000,42.240000,2235
2.000000,3562.000000,42.150000,3562
2.000000,3507.000000,39.940000,3507
2.000000,3280.000000,39.310000,3280
10.500000,1818.000000,39.060000,1818
10.500000,1361.000000,39.170000,1361
14.500000,2976.000000,40.140000,2976
20.500000,2207.000000,40.170000,2207
20.500000,1500.000000,40.100000,1500
25.500000,1736.000000,40.030000,1736
25.500000,1695.000000,39.970000,1695
0,4613.000000,24.690000,4613
0,4713.000000,24.260000,4713
0,2813.000000,23.300000,2813
0,2113.000000,19.670000,2113
0,2613.000000,22.030000,2613
0,4813.000000,29.250000,4813
0,4613.000000,27.770000,4613
0,3213.000000,22.060000,3213
0,3013.000000,21.440000,3013
0,2313.000000,22.920000,2313
0,2313.000000,21.780000,2313
0,2313.000000,21.270000,2313
0,2613.000000,21.930000,2613
0,2668.000000,24.930000,2668
0,4223.000000,27.790000,4223
0,4952.000000,30.960000,4952
0,3188.000000,24.930000,3188
0,3597.000000,30.560000,3597
0,4267.000000,30.480000,4267
0,3747.000000,27.110000,3747
0,3423.000000,33.280000,3423
0,3492.000000,30.240000,3492
0,6534.000000,37.960000,6534
0,5784.000000,36.700000,5784
0,3832.000000,30.720000,3832
0,4112.000000,30.690000,4112
0,3610.000000,28.590000,3610
0,8939.000000,31.970000,8939
0,2585.000000,27.750000,2585
0,3029.000000,28.280000,3029
0,2292.000000,25.660000,2292
0,3585.000000,26.930000,3585
0,3225.000000,27.250000,3225
0,2829.000000,25.870000,2829
0,3592.000000,30.880000,3592
0,3523.000000,30.450000,3523
0,2820.000000,32.020000,2820
0,3655.000000,25.440000,3655
0,3281.000000,34.260000,3281
0,3185.000000,37.320000,3185
0,2731.000000,38.180000,2731
0,2530.000000,40.280000,2530
0,2849.000000,42.070000,2849
0,2159.000000,36.670000,2159
0,2193.000000,40.570000,2193
8415.000000,1507.000000,0.970000,1507
7018.000000,2993.000000,1.160000,2993
6934.000000,787.000000,1.430000,787
5463.000000,715.000000,5.960000,715
6038.000000,821.000000,6.560000,821
4322.000000,499.000000,11.110000,499
4727.000000,457.000000,7.610000,457
4824.000000,980.000000,6.490000,980
6716.000000,553.000000,9.790000,553
4666.000000,944.000000,13.400000,944
6523.000000,1020.000000,15.010000,1020
5393.000000,803.000000,14.420000,803
4150.000000,583.000000,15.400000,583
5648.000000,594.000000,15.870000,594
8406.000000,645.000000,16.060000,645
14091.000000,689.000000,16.970000,689
14636.000000,809.000000,18.100000,809
15659.000000,826.000000,18.030000,826
16265.000000,897.000000,16.850000,897
16293.000000,1122.000000,14.490000,1122
15499.000000,965.000000,15.290000,965
13548.000000,697.000000,16.440000,697
10658.000000,766.000000,16.310000,766
9130.900391,869.000000,16.300000,869
11199.000000,686.000000,16.280000,686
10353.500000,776.000000,16.280000,776
1871.000000,29800.000000,23.700000,29800
1830.000000,30209.000000,21.940000,30209
1834.000000,29028.000000,21.580000,29028
1261.000000,26831.000000,24.720000,26831
739.000000,26754.000000,24.460000,26754
414.000000,24586.000000,24.400000,24586
128.000000,23048.000000,23.830000,23048
128.000000,24541.000000,25.110000,24541
126.000000,22609.000000,26.280000,22609
576.000000,21737.000000,24.360000,21737
539.000000,22418.000000,25.220000,22418
101.000000,22477.000000,26.080000,22477
277.000000,24674.000000,25.100000,24674
212.000000,25679.000000,25.030000,25679
214.000000,26793.000000,26.190000,26793
82.000000,24721.000000,24.720000,24721
44.000000,26970.000000,23.750000,26970
75.000000,24649.000000,23.010000,24649
0.000000,2672.000000,9.150000,2672
0.000000,2427.000000,9.570000,2427
23.000000,1838.000000,7.540000,1838
0.000000,2059.000000,9.820000,2059
0.000000,2151.000000,8.040000,2151
542.000000,1770.000000,10.510000,1770
99.000000,2033.000000,7.100000,2033
158.000000,2521.000000,9.930000,2521
301.000000,2414.000000,8.750000,2414
602.000000,3971.000000,11.020000,3971
656.000000,7670.000000,10.910000,7670
950.000000,9719.000000,11.250000,9719
1004.000000,12168.000000,12.100000,12168
1397.000000,24788.000000,12.390000,24788
1642.000000,26600.000000,12.510000,26600
3163.000000,51827.000000,16.290000,51827
3630.000000,30322.000000,16.110000,30322
4460.000000,30746.000000,15.750000,30746
4400.000000,84360.000000,15.820000,84360
10160.000000,43358.000000,14.720000,43358
11426.000000,70046.000000,15.200000,70046
11078.000000,100507.000000,14.050000,100507
7624.000000,185773.000000,14.120000,185773
3172.000000,305645.000000,14.120000,305645
4528.000000,364274.000000,15.530000,364274
5725.000000,304217.000000,15.680000,304217
7410.700195,399928.000000,15.360000,399928
5102.000000,277415.000000,14.240000,277415
5879.600098,171946.000000,14.060000,171946
7150.000000,34673.000000,13.730000,34673
7212.760254,76190.000000,12.930000,76190
4203.000000,97524.000000,12.660000,97524
1148.000000,91431.000000,12.400000,91431
563.000000,121299.000000,12.160000,121299
0,600.000000,6.060000,600
0,800.000000,6.960000,800
0,900.000000,7.750000,900
0,900.000000,8.500000,900
0,800.000000,5.430000,800
0,900.000000,6.200000,900
0,1300.000000,7.750000,1300
0,1300.000000,8.410000,1300
0,1600.000000,9.040000,1600
0,1500.000000,8.000000,1500
