"Country","Country Code","Indicator","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"IDA only","IDX","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1511850","1594838","1700043","1749149","1889229","2011585","2082726","2202100","2340445","2470628","2655195","2831781","3006393","3067436","3081327","3011848","3030776","3179344","3113024","3023567","3059474","3116573","3138394","3317651.24291992","3567546.13427734","3726980.10620117","3872718.31762695","4026728.7746582","4100833.28271484","4134035.72021484","4321290.54296875","4264648.52734375","4482134.0234375","4484111.37890625","4362998.359375","4657493.40234375","4660992.23671875","4974715.68359375","5022644.40002441","5572059.14746094","5811719.33203125","6174375.61132813","6292562.04492188","6833045.46875","7405182.484375","7852941.640625","7913800.16015625","8142897.8828125","8067046.19921875","8583307.89453125","8476614.15625","8690945.66015625","8835391.57421875","8965129.28125","9095835.515625","9213877.234375","9753245.4609375","10495625","10602880.75","","",
"Isle of Man","IMN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4900","4900","4500","4000","3600","5100","4600","6000","7200","9800","14700","16900","18000","15500","14791","14505","11242","11844","10504","12407","10106","8642","6298","8322","7668","6974","5778","5561","5624","5696","4085","4562","4481","4850","3571","3734","3537","4289","2214","2609","3552","3112","3127","2984","2627","2764","2579","3812","2770","3555","4814","6844","6172","5745","3755","7781","7040","6759","4431","","",
"India","IND","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1116557","911641","919532","985873","1255504","1258353","1286639","1311378","1427129","1495679","1636829","1716303","1485142","1787620","2064670","2053375","1938973","2049755","2014855","2015210","2080157","2041720","1916381","2003865.5","2302519","2206097.5","2321273","2206075","2307632","2713689","2862586","2907233","2929102","3150212","3347607","3357740","3542954","3620948","3473492","3552149","3726427","3817092","3783853","3757899","3426509","3725362","3877337","3890293","4128727","4094756","4715816","4336132","4895141","4665440","4999493","4862038","5196945","5553948","5342888","","",
"Not classified","INX","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","40700","31200","28500","26500","30900","34600","38800","48900","50500","63500","75200","69200","86600","87391","85782","84165","90019","89222","100237","89552","144391","185429","205954","197088","224827","248827","248878","263767","273824","219849","248374","265510","279887","310322","327371","423560","365942","328050","360646","319543","312397","392530","318742","301226","310578","297181","241288","244370","234819","298584","348441","243466","305427","275950","306424","264370","259856","276330","251241","","",
"Iran, Islamic Rep.","IRN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","20015","20015","20015","18015","18013","20014","21114","22515","24019","24016","26066","24309","19488","19949","69062","66807","70038","69745","67170","65413","43659","44608","92818","96665","99554","102850","133381","190800","208792","234383","241929","255504","305707","322005","308100","339661","351725","369988","367297","380197","383991","351142","324838","350123","369990","410567","445879","402767","407842","420372","443650","487633","537271","553776","620427","631122","689722","782480","828872","","",
"Iraq","IRQ","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","9000","9000","9000","11300","19200","16800","14100","10200","19100","22000","32090","27100","31500","26700","22446","19532","25537","23101","22862","51785","49623","22445","20101","18503","16524","17000","16000","16000","21461","21555","22629","13485","18073","19941","25147","28208","30737","31302","22574","22423","20767","33300","26000","17200","12936","26008","59075","53032","34580","28245","19348","31541","51077","56853","59000","27296","31300","35220","36936","","",
"Iceland","ISL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","630364","734414","847818","797883","989617","1218265","1260773","915607","617636","707632","749177","700435","741987","922575","955304","1002392","1015723","1394012","1579608","1661732","1525412","1450448","802352","855473","1552077","1695794","1668631","1644379","1771529","1516936","1521381","1055867","1583211","1726886","1570946","1624389","2074581","2225451","1699724","1754408","2000047","2003941","2149646","2008697","1755563","1686014","1348112","1421102","1306719","1164638","1081992","1165159","1466947","1380562","1095669","1336609","1085548","1198006","1278445","","",
"Israel","ISR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","5400","5900","7400","7000","7700","8900","14900","14900","18100","12100","15401","18713","20736","18295","15978","17751","18709","18512","19838","17976","16591","16414","15047","12182","12930","14149","12857","14531","13413","12305","9429","6373","6360","6180","5876","5289","6173","5414","6701","6861","7712","7319","5742","4055","3340","4151","3820","3435","2708","2714","2612","2575","3242","1983","2042","2124","1588","2054","2054","","",
"Italy","ITA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","213960","240430","217082","226952","317196","344541","358591","358836","346140","349879","389117","390997","407839","395315","426700","399103","414847","363244","387029.40625","412114.40625","430265.5","430152.09375","449270.65625","454107.46875","484030.71875","482302.21875","457244.4375","443729.6875","439227.375","415807.3125","376932.15625","411327.15625","396467.5","397542.40625","399338.8125","397882.09375","367754.5","345649.59375","308484.6875","284841.34375","304180.84375","312408.6875","271913.09375","297710.8125","288945.8125","298606.09375","317853.6875","289486.4375","237628.5","254520","234963.5","217841.703125","202444.40625","177914.703125","183846","198768.90625","197945","197389.40625","206936","","",
"Jamaica","JAM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","8500","11500","11900","10000","10000","9000","9000","9000","8500","8500","8500","9300","9500","9600","10100","10100","10130","10107","9759","9826","9230","8018","8065","8813","9610","9881","9813","8969","11880","13068","13650","15250","19100","23000","25277","24750","24255","20035","17546","17264","5540","14319","14892","12482","13471","13096","17703","16398","13055","16154","15390","17998","15383","18349","15204","17025","16800","19264","15346","","",
"Jordan","JOR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","100","100","200","200","200","200","200","100","100","100","100","200","100","100","92","65","49","31","31","36","56","35","19","17","102","152","202","252","302","352","352","370","380","395","410","425","440","450","470","510","550","520","526","481","494","510","497","506","500","569","486","500","648","760","873","873","873","873","873","","",
"Japan","JPN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","5945151","6425841","6542629","6350329","6026892","6566241","6759965","7488493","8160845","8141183","8764099","9306614","9635094","9929283","9913992","9722912","9781111","9848253","9850654","9640242","10067348","10360482","10467873","10858494","11616601","10970693","11505643","11333005","11401496","10661273","9819588","8716800","7976649.5","7448231.5","6785678","6162111","6115649.5","6102891","5443979.5","5337468","5210971","4854643.5","4520996","4818020.5","4467887.5","4457997","4466579.5","4444244.5","4451463.5","4243057.5","4195919.5","3882936.25","3765347.25","3738956.5","3734200.5","3501171.75","3283773.5","3278874","3209746","","",
"Kazakhstan","KAZ","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93260","92530","78500","69308","65124","56700","46433","48402","44273","31826","25000","36170","36620","22960","24668","25195","33306","37621","30045","34201","51267","38170","46827","34896","36939","34692","37137","40461","41335","31157","32000","","",
"Kenya","KEN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","12600","13500","18400","20100","20700","23400","27900","27300","28200","32000","33700","28300","30000","29000","28581","27373","41164","43009","46425","51735","47875","57900","81718","98357","91127","106251","120244","136692","139791","148843","204082","201397","165850","186630","207620","195532.75","181763.34375","163033.65625","173868.578125","209277.390625","219258.90625","169010.328125","149131.328125","124343","131159.078125","158870","167976","138636","140613","141063","145866","185630","165208","169539","175390","171871","148092","129966","130946","","",
"Kyrgyz Republic","KGZ","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212","312","327","225","201","127","131","185","145","85","85","48","52","180","151","63","7","26","37","14","8","10","27","60","90","120","227","31","89","90","19","","",
"Cambodia","KHM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","35000","45000","45000","40000","40000","45000","45000","50000","50000","52000","52200","77100","87100","84700","84700","84700","84700","84700","40900","30000","19600","51354","68251","67227","62814","67578","71451","79724","82296","81018","110681","117254","106342","105885","101254","117691","114910","119800","148600","294536","310668","464200","457032","442365","380637","504000","620142","587445","587500","650000","490094","560839","566695","649468","632857","626243","635705","670645","692274","","",
"Kiribati","KIR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","5000","5000","6000","6000","6000","6000","7500","7500","7500","7500","8800","8900","9100","9200","9475","9650","9824","10053","10606","10838","12929","13502","13009","22485","19380","22844","29271","37877","25002","30983","26852","29170","30023","28884","29569","32121","33687","32139","37284","56641","35446","33280","36694","33712","31061","30562","25661","34170","27299","39426","43116","62927","77779","81531","116969","146036","172822","161136","196895","","",
"St. Kitts and Nevis","KNA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","600","600","600","700","700","700","800","800","800","800","1000","1000","1000","1000","1000","1218","1684","1695","1790","1777","1935","1900","1930","1177","1115","995","901","924","800","710","620","450","300","250","357","339","687","418","967","933","970","1039","949","873","1111","1516","1179","1275","1342","2064","21754","31071","21887","17717","66142","100398","65769","85457","1047","","",
"Korea, Rep.","KOR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","338564","407113","445551","451868","527726","566749","611931","663787","735298","798940","753291","916429","1179171","1421467","1681041","1781746","1993033","1930481","1958709","1936739","1864156","2106131","2038972","2146521","2229202","2303171","2708406","2457850","2317365","2468774","2496909","2195470","2348616","2279380","2385513","2342340","2437331","2227947","2040943","2131769","1838369","2009472","1704787","1662267","1590000","1662312","1773003","1888972","1971610","1872460","1735577","1757763","1679908","1605276","1756047","1658982","1371799","1363142","1345906","","",
"Kuwait","KWT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3500","3500","3500","3500","4000","4000","4000","4500","4500","4500","4700","5700","5000","6100","5502","5934","4648","5913","6489","3065","3689","3714","6628","8722","9639","10116","7630","7699","10788","7643","4454","2034","7871","8466","7752","8616","8255","7827","7798","7398","6978","5846","5360","4060","5061","4895","5635","4373","3979","4708","6373","4038","4030","4633","4197","4287","5493","3978","2871","","",
"Latin America & Caribbean (excluding high income)","LAC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4218619","5999736","7788443","7741698","10051545","8494490","9941782","11428979","11901638","10521204","14059965","12213128","6525931","4469813","6178370","5548597","6659977","5243667","6742293","7148162","6420505","6586274","7336967","4815139.85009766","7188555.171875","8692517.37695313","9978872.62304688","8762178.57958984","10809422.8295898","11000312.8530273","10502690.671875","10706165.46875","11182751.296875","13178079.421875","16414843.6484375","14110973.578125","14901618.296875","13105537.875","9002094.3515625","13299331.6015625","15822819.375","13266790.5","13711277.875","10906428","14404915.375","14369981.5","12768884.25","12667786.5","12993180.625","12248257.875","9574919","13562048.625","10000376.25","11339897.125","9040602.625","9806976","8646327.25","9143853.49707031","11979177.7480469","","",
"Lao PDR","LAO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","12000","12000","15000","14984","14976","14968","17952","17928","17904","17872","19840","19784","19728","19656","19568","21464","21336","21192","21016","22816","22592","22320","22016","23672","23500","22000","21000","22000","21000","20000","18000","18500","19240","19500","23800","27370","23000","18857","19642","30041","29250","31000","33440","29800","29800","26560","26925","28410","29200","30800","30900","34000","34106","38946","60237","62635","70915","70900","70900","","",
"Lebanon","LBN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2100","1900","2000","2200","2000","2300","2500","1800","2500","3000","2300","2000","1800","2400","3100","2400","1700","1600","1700","1650","1700","1500","1400","1300","1200","1400","1500","1713","1713","1713","1430","1732","1731","2032","2237","4085","4135","3655","3520","3560","3666","3670","3970","3898","3866","3798","3811","3700","3600","3500","3400","3300","3200","3100","2998","3638","4291","3617","2796","","",
"Liberia","LBR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4200","3700","4000","4000","4000","4500","5000","6000","6000","7000","8000","8200","8900","9300","10064","10046","10132","10190","10812","13484","11791","13004","13553","15277","14650","11478","16053","18731","16074","14802","6463","9620","8891","7782","7721","8829","8308","8491","10697","14682","11518","10496","11042","10464","13725","12147","8894","14488","7890","10700","11700","13571","14159","15201","14522","14079","13718","11974","14115","","",
"Libya","LBY","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2013","1700","1500","1400","1600","2924","3324","4236","5560","6500","5500","5600","2549","2975","4769","4949","4059","2046","4355","4500","12752","13130","14706","10122","11979.775390625","15900.6005859375","17947","18592","21660","22008","24734","26036","28828","31093","33508","34408","35984","36885","37919","43603","49969","47296","44013","41834","39902","37395","34652","31926","47650","52117.30078125","50006","30004","35004","36004","25003","26002","30002","32000","32266","","",
"St. Lucia","LCA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","600","600","600","600","800","800","900","1000","1100","1100","1419","1519","1519","1627","1700","2000","2200","2500","2600","1024","969","891","921","910","946","1052","840","651","791","807","948","1016","1107","1395","1345","1343","1402","1416","1709","2061","2027","2160","1895","1668","1706","1590","1647","1732","1895","2066","1964","1811","1944","1991","1982","2030","2117","2091","2019","","",
"Latin America & Caribbean","LCN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4685950","6561261","8561037","8646809","11375616","9385167","11507712","12664112","13460451","11808792","15461460","13915608","7549786","5376075","7545010","6738568","8329664","6862219","9040019","10166977","9663362","10451149.7890625","11536313.0390625","9386270.00439453","12282262.2382813","14114520.1953125","16125991.5224609","14259618.6098633","16743088.4985352","18210535.4643555","16415054.8525391","17392070.0126953","18294235.8291016","19864853.3662109","24907786.6640625","22520039.0615234","22500776.4404297","19777443.4667969","13191486.0361328","19157195.6015625","20913853.375","17938984.5","18916349.875","15533045","20529180.375","19745757.5546875","17788313.25","17321378.6953125","17398262.625","16528960.7050781","12997526.4404297","17443671.625","13414706.078125","13996866.125","12055944.8447266","12419570.2900391","10967637.25","12000098.4375","14809140.4423828","","",
"Least developed countries: UN classification","LDC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1667650","1733988","1855993","1857099","2086029","2094135","2223430","2281310","2442865","2629524","2719812","2775045","3185258","3186184","3116990","2782745","2712108","2871832","2801088","2732561","2749909","2835401","2837362","2981169.69384766","3120558.73828125","3162749.99609375","3342276.38671875","3465726.11474609","3576545.28271484","3657493.72021484","3799995.54296875","3730519.52734375","3876444.0234375","3957412.37890625","3864227.359375","4140028.40234375","4015523.23671875","4376890.68359375","4424866.40002441","4910259.14746094","5242991.33203125","5597729.61132813","5761895.04492188","6237621.46875","6815379.484375","7239394.640625","7330758.16015625","7726137.8828125","7648939.19921875","8153015.89453125","8038410.15625","8250433.66015625","8410566.57421875","8614897.28125","8765119.515625","8851303.234375","9408034.4609375","10106828","10073047.75","","",
"Low income","LIC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","723190","769400","807200","841600","863800","937800","1010100","1052200","1125300","1158263","1117801","1168445","1260873","1347437","1415446","1431125","1466019","1514551","1845135","1780721","1704641","1867893","1846134","1548699.54907227","1666062.39599609","1608855.11010742","1740083.9309082","1969232.65991211","1750953","1806294","1585523","1451837","1537588","1565077","1489559","1558445","1470186.6","1484837","1448201.90002441","1527552.54980469","1617503","1630483.5","1677107.5","1888047.5","2068100.5","2101755.5","2055919.5","2064882.5","2076977.5","2218341","2264262","2399998","2455000","2571544","2614522","2551734","2616073","2900024","2832704","","",
"Liechtenstein","LIE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Sri Lanka","LKA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","48103","59628","73471","71614","91125","74632","79973","82237","98302","95060","89241","74980","91867","96528","100469","109215","131643","136145","156083","164763","183416","201904","216283","220430","162462","177379","183568","186624","204875","219756","182893","210271","204433.078125","229670.890625","245586.671875","234526.921875","260186.3125","270506.84375","283119.875","310172.6875","296749.59375","267550","272602","319759.1875","332854.40625","216663","278603","304903","323888","336942","390187","428204","475801","494436","530482","502062","520931","507979","510537","","",
"Lower middle income","LMC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4597956","4639416","4921424","5146064","5878050","6011182","6500938","6562165","6873701","7254886","7571068","7931320","8411876","8909363","8923322","8585116","8620589","9058295","9121335.89453125","9205772.7890625","9385413.09375","9699358.078125","9896587.640625","10711610.2563477","11042970.4257813","11284795.5273438","11945802.4921875","12217761.8647461","13700377.2905273","14353394.4389648","14898596.6533203","15090318.1821289","15226872.953125","15720292.2265625","16319353.8007813","17083856.4257813","17295171.9492188","18207895.1289063","18456513.21875","19379696.0273438","20193185.6210938","21003080.2832031","21126559.2871094","21801839.4609375","22127493.421875","22996619.21875","23609974.8085938","24369553.3515625","24835891.0742188","25473017.9414063","26430345.015625","26212589.7851563","27408170.3242188","27695700.203125","29075670.78125","29328427.34375","30247146.3046875","31665746.125","32195580.796875","","",
"Low & middle income","LMY","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","13129370","15414696","17748287","18192430","21534993","20401006","22500299","24741091","26393457","25330431","28659308","27525560","22841314","21762973","23810726","22912428","24124796","23635716","25389685.8945313","25452915.7890625","24723973.09375","25664803.078125","27142161.640625","25645736.5554199","28374004.206543","30495521.1149902","33541429.8967285","34374379.6672363","46415617.2075195","47079193.4682617","46483688.9755859","46680144.8442383","48068074.401123","50675402.7734375","55258710.9492188","56136498.3039551","58686202.5460449","58125535.803894","54968492.5797119","59920705.0786133","62963345.9960938","60299395.4831543","60692602.4621582","59012187.3618164","62927378.4570313","63769137.21875","62737206.6584473","63184921.7514648","63362074.1992188","63607656.3171387","62252694.6158447","66561924.2103271","64795805.3743896","66693020.328125","66254470.3062744","67664244.6437988","67225356.2548828","68944889.7253418","71929481.6447754","","",
"Lesotho","LSO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","10","16","22","22","26","28","30","30","30","32","24","40","42","45","45","45","48","50","45","45","45","50","50","52","52","52","52","52","","",
"Late-demographic dividend","LTE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","5180988","5748482","6455632","6699273","7556841","7586778","8587059","8221681","8742568","8660214","8890363","9688717","9802268","10414499","10938978","11009063","11767839","12654414","13630849.8945313","13962325.7890625","14010436.09375","15173690.2890625","15431809.0390625","16270905.222168","17736642.6992188","18669419.4277344","20368308.5129395","20678055.5166016","30635099.03125","31919364.796875","29875926.5654297","30196568.2919922","30841958.8864746","30875214.0771484","33845220.6875","36545878.2365723","37695745.0637207","37262347.9989624","34785081.6877441","36554647.171875","36084914.3295898","34818294.1687012","34929720.7858887","34313505.8305664","35676369.9257813","35194416.3671875","35008388.263916","34430693.982666","33739516.4375","34124254.3425293","33768725.9625244","34512868.1751709","34922426.0032959","34921817.453125","35630349.916626","35503276.2150879","34978380.5751953","35493287.7937012","35275282.8620605","","",
"Lithuania","LTU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","411535","411812","334414","468022","188467","117171","49162","57368","88514","44002","66578","72962","78988","150831","150146","157205","161988","139785","154548","187513","182760","172692","149851","138557","66970","90871","150067","85144","106945","89770","74383","","",
"Luxembourg","LUX","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Latvia","LVA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","541212","535435","457598","409957","156747","141974","138105","149194","142644","105682","102331","125389","136403","128176","117553","114543","125391","150618","140389","155276","157934","163213","164819","154310","94404","116029","119536","81340","114278","118140","135467","","",
"Macao SAR, China","MAC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","5800","5800","5800","5500","5800","7000","7500","7500","7000","7000","5900","6100","5900","6000","6000","6000","7400","7160","9236","7881","6624","7545","6656","6250","8800","9100","8042","3517","2485","3464","2583","2322","2668","1898","1890","1604","1418","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","","",
"St. Martin (French part)","MAF","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","90","90","90","90","90","90","90","90","90","","",
"Morocco","MAR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","167700","176681","171949","180535","208582","225486","318580","273356","231475","233697","258177","234784","275036","399681","288681","230466","288930","265361","298072.09375","290355.6875","335327.59375","395626","369420","459245","472646.09375","478155.40625","600413","499174.1875","556290.375","526948.625","574947.3125","603392","558729.125","631623.375","759687.1875","856811.8125","647629","791389.625","714037.125","746209.25","914824.1875","1106101.875","969539.625","929778.625","931280.6875","1039210","891750.625","891845.5","1006167.6875","1175436.5","1143652.125","978737.375","1180170.375","1275508.75","1375097","1384017.625","1472314.375","1402130.75","1386548","","",
"Monaco","MCO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","0","0","0","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","","",
"Moldova","MDA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1460","1865","2331","195","124","90","118","128","26","26","19","9","25","28","38","58","85","56","51","26","36","26","44","50","50","50","50","50","50","50","50","","",
"Madagascar","MDG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","29500","30500","32000","37400","46000","45300","56000","59100","64700","50063","53901","56745","57733","65916","71399","61983","60939","62462","61076","60498","57408","57969","59478","63476","67428","69025","84247","93400","104909","101809","105600","100387","106175","116669","120120","119038","120020","123161","121725","122740","127573","133823","137061","137970","140676","138498","141353","154128","123904","134553","129638","127070","118075","104597","95824","114905","142833","161606","129568","","",
"Maldives","MDV","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","13000","12000","12000","12000","12000","19600","22400","25100","23700","32300","37273","35176","32268","35706","37258","28325","34634","29636","31769","31175","38624","40916","37838","44110","56081","62076","59964","58502","72589","72065","80225","81523","82392","90156","104242","104754","105848","108312","118285","124217","119373","127636","163770","156132","158528","186274","185811","144511","133839","117061","122804","120835","120000","130217","128695","127381","129331","142378","151013","","",
"Middle East & North Africa","MEA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","459097","487021","512290","519744","572091","571453","678673","622478","592916","600325","651290","659696","727052","896400","909226","878710","953008","918022","915669.89453125","952457.7890625","979765.09375","996027.078125","1038968.640625","1158072.23657227","1197100.85888672","1276794.99194336","1438603.53637695","1482517.03491211","1660684.6328125","1599087.34375","1656211.0703125","1715137.5546875","1743129.8515625","1866489.2734375","2060126.453125","2227003.6953125","2007869.2109375","2221165.515625","2174406.71875","2254273.484375","2400249.9140625","2687138.96875","2545247.9921875","2568551.7421875","2590374.5625","2693411.609375","2666575.9609375","2554420.8125","2587138.875","2822148.61328125","2752934.921875","2604503.375","2989608.375","3119087.453125","3254882.796875","3253716.625","3399446.875","3508171.75","3756411.296875","","",
"Mexico","MEX","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","196413","224801","220180","245480","250020","259620","291500","356550","366650","354250","384528","422925","458147","477730","441879","497173","538670","578289","826585","1018607","1276487","1629058","1422637","1062998.75","1127538.875","1245082.25","1343933.75","1449654.75","1377858.5","1502265.75","1424798.875","1428316.875","1219951.5","1164911.625","1230374.75","1380516.375","1500101.5","1533101.375","1193486.25","1238933.5","1351027.375","1449527.5","1482727.875","1387506","1289765.375","1325938.5","1368697.25","1475206.5","1587709.625","1619877.875","1528285","1571844.625","1582514.25","1627718.125","1531398.625","1480859","1526107.25","1640382.5","1703211.25","","",
"Marshall Islands","MHL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","100","150","150","160","160","200","200","220","320","400","395","380","300","329","488","388","375","2772","400","500","700","8261","36581","39859","38885","47887","57583","43974","61230","35103","46316","59751","93272","75388","80624","78743","89742","64795","70572","77700","","",
"Middle income","MIC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","12406180","14645296","16941087","17350830","20671193","19463206","21490199","23688891","25268157","24172168","27541507","26357115","21580441","20415536","22395280","21481303","22658777","22121165","23544550.8945313","23672194.7890625","23019332.09375","23796910.078125","25296027.640625","24097037.0063477","26707941.8105469","28886666.0048828","31801345.9658203","32405147.0073242","44664664.2075195","45272899.4682617","44898165.9755859","45228307.8442383","46530486.401123","49110325.7734375","53769151.9492188","54578053.3039551","57216015.9460449","56640698.803894","53520290.6796875","58393152.5288086","61345842.9960938","58668911.9831543","59015494.9621582","57124139.8618164","60859277.9570313","61667381.71875","60681287.1584473","61120039.2514648","61285096.6992188","61389315.3171387","59988432.6158447","64161926.2103271","62340805.3743896","64121476.328125","63639948.3062744","65112510.6437988","64609283.2548828","66044865.7253418","69096777.6447754","","",
"North Macedonia","MKD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","164","196","208","78","130","131","135","208","128","148","162","213","271","147","177","166","222","236","268","249","334","282","350","122","87","140","","",
"Mali","MLI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","80000","80000","90000","90000","90000","90000","110000","100000","106000","108000","110000","90000","80000","85000","75000","75000","75000","75000","75000","83586","88228","75564","73451","61289","54708","54178","61002","55701","55858","71825","70535","68749","68467","64300","62850","132900","111910","99550","98000","98536","109870","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","108149","71229","99353","80000","92480","102486","106221","90386","","",
"Malta","MLT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1219","1325","1322","1634","1420","1228","1312","1414","1228","1135","1212","1247","1247","1644","1546","1529","1571","1483","1079","1322","1078","942","1216","999","1226","2585","1168","1052","896","941","796","773","579","845","2365","4636","9199","1040","1180","1247","1074","902","1085","1138","1138","1406","1332","1235","1391","1641","1836","1920","2201","2356","2405","2563","3561","2164","2733","","",
"Myanmar","MMR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","360000","360000","360000","360000","360000","360000","360000","380700","396100","413900","431670","441840","452300","462240","432510","483620","499830","516730","537470","561570","577220","591420","580950","583710","609740","643750","680718","680371","698874","726816","736731","726672","731544","739702","746241","751710","602280","780800","830650","920010","1093200","1187880","1284340","1343860","1586600","1732250","1823450","1907750","1907010","1892600","1961150","1975920","1962231","1919001","1970550","1970470","2072390","2155440","2033110","","",
"Middle East & North Africa (excluding high income)","MNA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","351678","372796","384268","390210","443471","432425","526461","465264","433488","445790","471277","449636","491569","636961","608853","557857","635712","622444","640513.89453125","706033.7890625","755739.09375","786626.078125","817201.640625","912461.236572266","948127.858886719","1022561.99194336","1185739.53637695","1179584.03491211","1324857.6328125","1307083.34375","1372183.0703125","1441189.5546875","1462317.8515625","1581652.2734375","1749635.453125","1903365.6953125","1690236.2109375","1909054.515625","1871398.71875","1950634.484375","2090657.9140625","2355156.96875","2217242.9921875","2245293.7421875","2244778.5625","2352687.609375","2310263.9609375","2200756.8125","2252313.875","2478745.61328125","2406181.921875","2274876.375","2612308.375","2732018.453125","2861271.796875","2816387.625","2938600.875","2981078.75","3023863.296875","","",
